 ,Area
1,121.937
2,107.250
3,110.320
4,268.662
5,150.011
6,156.990
7,139.398
8,189.862
9,186.838
10,123.103
11,122.389
12,123.982
13,261.431
14,82.884
15,81.849
16,84.512
17,155.543
18,104.164
19,103.265
20,104.355
21,130.183
22,153.920
23,135.971
24,288.399
25,98.667
26,161.889
27,88.763
28,74.327
29,150.041
30,183.406
31,150.423
32,130.806
33,118.113
34,269.852
35,103.868
36,205.178
37,110.948
38,104.757
39,246.974
40,146.996
41,117.586
42,102.853
43,107.119
44,78.945
45,108.888
46,106.616
47,132.092
48,211.178
49,131.781
