 ,Area
1,87.573
2,306.885
3,79.457
4,86.927
5,105.037
6,154.659
7,234.870
8,74.706
9,144.260
10,132.030
11,193.801
12,171.427
13,121.250
14,86.686
15,83.736
16,124.146
17,236.726
18,67.763
19,93.679
20,199.961
21,89.764
22,200.011
23,179.933
24,117.935
25,140.932
26,193.755
27,80.453
28,146.952
29,101.149
30,148.502
31,87.264
32,90.815
33,92.470
34,126.324
35,95.075
36,90.987
37,98.117
38,166.066
39,200.912
40,92.615
41,103.359
42,146.002
43,205.772
44,155.786
45,120.372
46,125.978
47,72.660
48,146.197
49,132.539
