 ,Area
533,102.819
534,188.815
535,111.785
536,277.505
537,1.909
538,294.601
539,80.663
540,223.966
541,106.510
542,96.047
543,76.832
544,130.255
545,86.711
546,147.617
547,90.262
548,168.121
549,147.430
550,133.557
551,74.859
552,159.141
553,172.208
554,139.866
555,83.450
556,132.503
557,65.255
558,384.322
559,102.289
560,93.886
561,3.215
562,163.456
563,174.752
564,116.221
565,76.188
566,195.591
567,261.530
568,209.174
569,78.503
570,0.779
571,1.550
572,295.913
573,116.342
574,123.557
575,162.819
576,208.604
577,1.000
578,58.282
579,148.510
580,90.832
581,300.128
582,152.785
583,105.517
584,118.906
585,228.383
586,148.832
587,228.765
588,94.060
