 ,Area
533,71.466
534,126.581
535,81.191
536,190.714
537,77.411
538,214.928
539,57.825
540,218.943
541,99.848
542,97.305
543,78.628
544,126.170
545,80.801
546,148.818
547,91.601
548,168.174
549,156.491
550,133.330
551,76.393
552,157.047
553,168.250
554,137.069
555,83.710
556,130.497
557,64.283
558,375.145
559,97.153
560,88.336
561,138.460
562,153.459
563,157.839
564,109.842
565,71.909
566,186.163
567,237.658
568,197.143
569,70.732
570,107.023
571,170.053
572,268.710
573,102.335
574,109.998
575,133.098
576,183.373
577,59.642
578,62.238
579,127.755
580,75.377
581,257.132
582,132.756
583,82.775
584,103.303
585,192.536
586,128.025
587,189.964
588,74.106
