 ,Area
1,226.467
2,100.405
3,175.693
4,167.681
5,165.928
6,80.809
7,101.458
8,146.122
9,195.973
10,124.204
11,243.256
12,149.101
13,110.102
14,304.063
15,120.326
16,108.134
17,119.756
18,96.243
19,200.187
20,218.020
21,121.384
22,110.245
23,258.231
24,84.224
25,88.514
26,92.714
27,128.069
28,87.595
29,100.156
30,85.296
31,96.966
32,88.605
33,99.557
34,115.633
35,176.540
36,152.257
37,114.488
38,104.370
39,168.802
40,319.679
41,118.693
42,208.495
43,203.295
44,85.823
45,173.121
46,96.602
47,169.802
48,154.139
49,127.068
