 ,Area
1,124.955
2,84.052
3,224.784
4,93.272
5,0.959
6,78.369
7,141.545
8,176.535
9,83.658
10,108.794
11,130.873
12,139.003
13,151.314
14,103.560
15,263.029
16,88.033
17,92.073
18,141.356
19,82.819
20,98.221
21,279.215
22,113.388
23,84.597
24,113.718
25,202.644
26,148.088
27,177.733
28,101.986
29,88.637
30,178.398
31,148.318
32,78.564
33,102.251
34,175.336
35,154.171
36,151.579
37,174.123
38,106.212
39,86.894
40,251.348
41,136.606
42,143.134
43,200.946
44,108.089
45,234.897
46,138.114
47,89.651
48,114.477
49,265.372
