 ,Area
1,154.905
2,167.846
3,200.364
4,122.461
5,83.772
6,197.321
7,89.169
8,77.284
9,83.435
10,74.147
11,147.312
12,109.446
13,125.474
14,160.600
15,209.989
16,87.925
17,92.634
18,92.619
19,331.291
20,102.636
21,143.649
22,98.160
23,62.162
24,273.876
25,121.479
26,105.104
27,172.054
28,91.588
29,119.224
30,168.837
31,118.208
32,121.559
33,132.418
34,99.231
35,181.273
36,179.478
37,98.631
38,98.814
39,97.744
40,70.638
41,125.033
42,124.998
43,70.345
44,125.806
45,83.494
46,193.074
47,76.992
48,219.630
49,60.135
