 ,Area
1,219.820
2,97.275
3,97.147
4,75.586
5,120.379
6,79.663
7,142.932
8,84.543
9,164.324
10,154.267
11,134.239
12,76.364
13,158.963
14,171.294
15,133.126
16,83.066
17,134.169
18,66.921
19,367.344
20,99.479
21,84.746
22,141.875
23,153.347
24,160.883
25,111.843
26,73.019
27,181.312
28,238.843
29,197.867
30,72.905
31,108.789
32,174.371
33,263.179
34,108.407
35,108.827
36,132.158
37,182.539
38,61.528
39,63.146
40,120.139
41,76.298
42,252.656
43,128.392
44,79.304
45,100.106
46,198.141
47,127.326
48,197.938
49,79.437
