 ,Area
1,110.334
2,165.379
3,94.519
4,239.235
5,104.212
6,149.201
7,137.496
8,223.559
9,118.634
10,150.700
11,82.850
12,124.737
13,135.400
14,120.426
15,113.542
16,128.754
17,178.946
18,125.808
19,129.467
20,112.434
21,292.984
22,136.825
23,119.071
24,251.543
25,129.922
26,86.761
27,93.040
28,121.860
29,127.729
30,165.540
31,96.707
32,91.973
33,235.241
34,93.807
35,100.797
36,108.160
37,251.690
38,82.235
39,140.285
40,98.242
41,132.780
42,178.119
43,97.029
44,105.692
45,208.999
46,85.976
47,115.495
48,214.082
49,81.237
