 ,Area
533,87.457
534,159.394
535,89.855
536,223.650
537,98.104
538,237.830
539,94.982
540,214.799
541,102.740
542,92.841
543,75.318
544,131.945
545,77.318
546,148.651
547,86.871
548,162.964
549,0.631
550,125.918
551,73.483
552,154.952
553,168.030
554,131.722
555,80.590
556,121.379
557,63.667
558,372.568
559,96.377
560,85.330
561,0.615
562,152.807
563,163.357
564,108.699
565,74.517
566,191.001
567,243.482
568,202.336
569,71.943
570,0.383
571,0.439
572,276.067
573,102.026
574,115.822
575,146.263
576,191.662
577,0.734
578,68.464
579,134.529
580,78.368
581,289.217
582,139.714
583,85.496
584,103.112
585,203.220
586,135.098
587,218.283
588,92.774
