 ,Area
533,96.640
534,164.769
535,100.048
536,251.198
537,0.741
538,275.596
539,80.237
540,223.377
541,0.557
542,92.800
543,78.059
544,1.069
545,83.266
546,155.305
547,89.259
548,164.800
549,145.436
550,136.505
551,76.144
552,161.082
553,179.475
554,133.390
555,85.803
556,136.020
557,67.843
558,396.551
559,106.643
560,92.964
561,2.551
562,161.357
563,178.072
564,96.938
565,75.692
566,179.115
567,236.170
568,218.590
569,79.744
570,2.341
571,1.469
572,298.348
573,123.416
574,122.466
575,167.436
576,208.584
577,0.839
578,55.305
579,142.866
580,87.521
581,317.600
582,159.843
583,92.007
584,117.239
585,231.548
586,149.036
587,226.505
588,93.292
