 ,Area
533,94.039
534,171.388
535,100.373
536,265.413
537,0.380
538,277.497
539,83.220
540,221.918
541,0.129
542,94.637
543,82.166
544,0.342
545,83.678
546,153.864
547,90.275
548,166.173
549,0.116
550,132.612
551,75.168
552,163.169
553,170.096
554,135.875
555,90.256
556,133.155
557,72.842
558,390.863
559,105.751
560,93.480
561,0.123
562,164.564
563,177.397
564,0.142
565,82.218
566,0.142
567,0.142
568,216.619
569,80.887
570,0.090
571,0.090
572,298.566
573,113.233
574,125.620
575,157.347
576,208.788
577,0.226
578,320.884
579,147.125
580,89.849
581,0.168
582,153.399
583,98.365
584,116.206
585,230.292
586,153.916
587,232.030
588,95.445
