 ,Area
1,307.397
2,108.589
3,170.568
4,81.963
5,245.053
6,83.617
7,1.468
8,128.200
9,76.983
10,171.314
11,338.378
12,120.689
13,144.980
14,97.105
15,144.428
16,116.813
17,108.921
18,119.554
19,149.927
20,103.552
21,142.198
22,433.674
23,106.780
24,149.732
25,213.739
26,102.620
27,215.353
28,163.358
29,0.770
30,257.908
31,174.444
32,129.019
33,72.660
34,129.278
35,220.584
36,119.643
37,124.031
38,165.515
39,121.825
40,277.843
41,110.697
42,0.479
43,263.601
44,121.346
45,246.294
46,145.702
47,216.723
48,152.912
49,224.112
50,255.745
51,112.431
52,85.143
53,121.682
54,67.358
55,97.115
56,151.339
57,103.991
58,127.417
59,109.395
60,148.080
61,224.926
62,123.721
63,119.579
64,138.463
65,242.941
66,71.829
67,123.211
68,82.552
69,216.113
70,90.713
71,218.015
72,169.971
73,96.943
74,106.287
75,128.938
76,79.014
77,180.945
78,107.055
79,127.288
80,200.230
81,99.490
82,147.176
83,138.807
84,195.636
85,168.772
86,121.761
87,190.354
88,166.741
89,300.072
90,102.684
91,103.201
92,278.992
93,172.396
94,164.703
95,258.078
96,106.459
97,316.436
98,128.680
99,103.051
100,327.938
101,83.219
102,93.780
103,104.267
104,158.240
105,226.605
106,78.198
107,160.226
108,138.466
109,202.313
110,178.030
111,125.851
112,94.778
113,91.987
114,120.604
115,258.324
116,77.309
117,101.056
118,206.312
119,95.046
120,224.602
121,206.287
122,134.946
123,162.909
124,219.388
125,90.335
126,160.813
127,120.084
128,174.518
129,101.961
130,104.384
131,111.282
132,143.101
133,109.790
134,107.787
135,114.132
136,200.277
137,243.789
138,109.757
139,123.236
140,176.790
141,262.263
142,203.386
143,135.524
144,155.490
145,87.921
146,0.947
147,165.272
148,130.546
149,119.567
150,114.503
151,262.907
152,150.119
153,153.424
154,136.636
155,196.395
156,186.574
157,117.689
158,124.024
159,122.008
160,248.998
161,1.196
162,85.516
163,77.629
164,155.414
165,103.180
166,98.848
167,97.772
168,129.563
169,163.514
170,131.128
171,283.932
172,101.371
173,143.853
174,84.201
175,71.964
176,144.342
177,177.785
178,152.097
179,121.476
180,110.209
181,252.548
182,101.108
183,213.282
184,112.068
185,103.380
186,222.747
187,138.677
188,113.739
189,101.897
190,106.998
191,80.214
192,100.494
193,101.390
194,126.058
195,203.092
196,124.681
197,230.387
198,89.255
199,163.828
200,167.429
201,151.607
202,71.687
203,1.746
204,149.847
205,1.563
206,125.873
207,232.199
208,142.118
209,97.115
210,284.010
211,122.096
212,107.166
213,111.651
214,94.500
215,191.256
216,210.782
217,118.868
218,1.907
219,272.476
220,80.373
221,92.885
222,90.636
223,122.513
224,85.435
225,102.206
226,91.877
227,99.233
228,86.647
229,101.578
230,115.814
231,182.922
232,157.327
233,125.201
234,106.603
235,175.318
236,335.493
237,127.699
238,229.832
239,229.562
240,92.871
241,159.861
242,120.679
243,183.499
244,164.076
245,138.963
246,140.008
247,185.373
248,106.002
249,242.263
250,103.378
251,147.175
252,140.746
253,261.182
254,138.609
255,165.407
256,91.618
257,132.607
258,137.670
259,127.795
260,135.029
261,143.194
262,209.799
263,139.573
264,147.251
265,122.112
266,306.848
267,172.582
268,142.523
269,287.318
270,155.851
271,0.729
272,105.096
273,136.907
274,156.672
275,194.099
276,104.174
277,111.391
278,266.169
279,97.578
280,109.950
281,138.868
282,302.716
283,102.473
284,166.270
285,112.833
286,157.754
287,193.303
288,123.085
289,130.645
290,248.030
291,99.422
292,137.544
293,249.304
294,90.981
295,182.670
296,139.577
297,114.588
298,0.499
299,120.077
300,86.984
301,173.798
302,181.113
303,148.250
304,94.519
305,364.492
306,144.667
307,130.366
308,92.543
309,105.187
310,229.006
311,109.309
312,145.605
313,1.168
314,77.553
315,245.732
316,74.809
317,175.634
318,177.680
319,127.681
320,82.483
321,0.908
322,134.178
323,342.536
324,175.455
325,125.735
326,91.884
327,100.357
328,157.321
329,115.536
330,241.760
331,111.524
332,1.198
333,249.694
334,1.736
