 ,Area
1,273.780
2,97.967
3,152.682
4,72.351
5,224.561
6,74.460
7,0.403
8,109.709
9,70.040
10,151.419
11,294.795
12,111.881
13,121.487
14,91.547
15,116.892
16,99.438
17,91.228
18,102.242
19,138.282
20,91.075
21,129.683
22,371.448
23,87.175
24,125.755
25,184.524
26,84.857
27,194.385
28,139.066
29,0.715
30,221.389
31,153.911
32,114.803
33,62.274
34,107.114
35,189.507
36,99.105
37,94.038
38,140.919
39,104.053
40,232.362
41,91.020
42,0.354
43,208.550
44,89.729
45,207.974
46,115.234
47,192.414
48,119.245
49,188.493
50,246.934
51,112.796
52,85.665
53,116.039
54,71.054
55,105.037
56,155.424
57,92.030
58,123.998
59,101.716
60,145.971
61,233.407
62,126.854
63,113.881
64,126.068
65,237.879
66,66.371
67,127.197
68,91.156
69,219.404
70,91.654
71,209.188
72,165.408
73,95.772
74,105.180
75,130.618
76,83.972
77,185.444
78,91.609
79,112.619
80,205.236
81,90.801
82,150.819
83,138.754
84,180.042
85,145.107
86,117.091
87,184.658
88,165.729
89,289.219
90,92.982
91,103.199
92,255.147
93,147.731
94,157.383
95,245.141
96,105.856
97,300.908
98,128.348
99,86.615
100,284.923
101,71.492
102,78.072
103,94.789
104,141.081
105,217.168
106,70.920
107,129.177
108,121.943
109,183.516
110,157.272
111,111.851
112,83.088
113,73.695
114,98.421
115,224.289
116,66.566
117,87.750
118,200.075
119,87.825
120,196.751
121,184.697
122,124.575
123,149.150
124,215.408
125,79.132
126,158.633
127,106.843
128,150.978
129,90.878
130,100.752
131,74.861
132,139.419
133,102.617
134,102.248
135,100.278
136,188.457
137,227.801
138,99.789
139,116.205
140,160.475
141,234.712
142,187.118
143,130.418
144,147.255
145,89.269
146,1.293
147,174.034
148,124.200
149,113.162
150,108.061
151,262.229
152,156.079
153,160.789
154,152.124
155,195.334
156,199.645
157,125.747
158,129.150
159,129.595
160,278.466
161,0.693
162,89.957
163,81.888
164,166.050
165,115.535
166,104.888
167,109.963
168,144.339
169,179.141
170,141.957
171,316.619
172,107.803
173,170.441
174,92.401
175,84.207
176,138.322
177,189.868
178,165.144
179,143.708
180,116.557
181,310.789
182,128.439
183,231.692
184,120.441
185,121.845
186,264.868
187,159.447
188,138.420
189,121.161
190,112.584
191,93.894
192,124.529
193,120.121
194,152.195
195,273.063
196,168.779
197,215.925
198,81.595
199,151.563
200,155.291
201,148.572
202,69.487
203,0.323
204,132.557
205,0.684
206,121.208
207,237.802
208,145.438
209,101.248
210,315.219
211,121.066
212,110.492
213,116.286
214,101.435
215,205.900
216,223.952
217,139.508
218,1.285
219,299.271
220,96.791
221,101.000
222,95.551
223,140.305
224,96.513
225,107.944
226,92.958
227,110.559
228,98.031
229,115.805
230,129.979
231,220.705
232,166.023
233,141.440
234,125.725
235,212.776
236,412.085
237,150.443
238,271.765
239,257.651
240,106.583
241,1.977
242,133.143
243,228.483
244,214.362
245,171.389
246,131.974
247,182.111
248,96.628
249,246.020
250,103.715
251,140.914
252,138.639
253,253.607
254,127.308
255,158.763
256,88.679
257,123.192
258,138.943
259,123.250
260,136.659
261,136.699
262,206.116
263,136.905
264,143.874
265,121.711
266,310.665
267,163.468
268,138.189
269,292.972
270,159.253
271,0.608
272,98.814
273,137.502
274,155.224
275,195.619
276,103.833
277,105.479
278,279.602
279,104.303
280,109.596
281,139.522
282,302.568
283,106.067
284,170.672
285,124.133
286,163.605
287,206.636
288,128.053
289,127.798
290,248.794
291,104.264
292,138.532
293,258.224
294,91.649
295,156.977
296,119.805
297,94.925
298,81.554
299,109.951
300,62.843
301,145.209
302,156.623
303,128.891
304,80.734
305,338.672
306,120.928
307,114.686
308,90.094
309,95.213
310,205.348
311,1.485
312,137.512
313,0.864
314,77.055
315,225.168
316,72.800
317,160.737
318,173.569
319,124.695
320,81.983
321,1.219
322,129.357
323,315.218
324,166.906
325,125.316
326,88.860
327,99.520
328,154.576
329,112.144
330,215.816
331,104.691
332,1.337
333,242.565
334,1.647
335,131.144
336,148.120
337,1.204
338,270.843
339,83.298
340,162.628
341,136.951
342,309.677
343,133.331
344,112.833
345,83.227
346,206.577
347,87.989
348,0.476
349,75.150
350,133.799
351,158.186
352,82.394
353,96.770
354,126.116
355,129.136
356,148.830
357,93.417
358,243.105
359,88.921
360,1.828
361,138.856
362,82.851
363,98.864
364,297.067
365,105.453
366,75.292
367,108.430
368,221.077
369,154.647
370,177.274
371,105.786
372,92.651
373,181.177
374,157.068
375,78.781
376,101.797
377,188.952
378,173.032
379,152.819
380,182.097
381,113.988
382,94.905
383,280.905
384,162.928
385,159.878
386,222.343
387,119.793
388,289.761
389,171.395
390,116.038
391,127.518
392,316.594
393,110.567
394,86.405
395,125.147
396,212.273
397,131.437
398,168.796
399,117.398
400,71.314
401,94.942
402,236.277
403,79.543
404,151.548
405,81.001
406,107.801
407,312.145
408,104.284
409,90.215
410,115.211
411,95.859
412,227.935
413,146.746
414,99.451
415,133.586
416,101.819
417,165.617
418,185.052
419,101.939
420,177.108
421,176.785
422,144.514
423,172.253
424,167.601
425,170.149
426,123.831
427,264.136
428,135.119
429,147.685
430,105.464
431,93.462
432,191.019
433,121.201
434,131.144
435,183.045
436,260.747
437,1.653
438,135.623
439,148.580
440,348.069
441,195.979
442,105.426
443,91.393
444,119.081
445,285.885
446,109.619
447,111.550
448,82.867
449,252.351
450,178.831
451,169.796
452,98.512
453,122.525
454,113.071
455,189.115
456,151.989
457,142.955
458,97.139
459,0.436
460,97.065
461,390.686
462,104.201
463,111.205
464,107.900
465,151.841
466,166.319
467,140.858
468,131.733
469,174.129
470,83.098
471,387.652
472,0.756
473,192.182
474,129.776
475,91.491
476,282.835
477,216.228
478,189.403
479,1.225
480,216.639
481,116.302
482,326.874
483,91.310
484,155.944
485,166.228
486,172.271
487,170.437
488,239.559
489,123.422
490,259.569
491,134.148
492,141.533
493,186.296
494,108.405
495,74.296
496,185.837
497,80.054
498,77.175
499,80.070
500,70.981
501,155.696
502,106.125
503,129.992
504,171.323
505,220.062
506,78.420
507,92.039
508,102.257
509,339.284
510,111.463
511,146.693
512,104.661
513,65.852
514,0.374
515,134.973
516,120.023
517,159.510
518,113.237
519,127.525
520,194.802
521,134.420
522,139.946
523,160.576
524,115.494
525,219.572
526,236.210
527,114.514
528,113.782
529,124.732
530,82.327
531,167.642
532,147.261
533,87.907
534,160.700
535,101.230
536,253.019
537,1.642
538,278.537
539,77.813
540,207.394
541,87.407
542,88.170
543,71.791
544,1.626
545,77.924
546,146.684
547,91.115
548,170.871
549,131.995
550,138.270
551,76.326
552,171.827
553,177.125
554,136.566
555,83.243
556,126.191
557,71.891
558,395.878
559,88.199
560,93.369
561,1.362
562,161.630
563,176.255
564,98.324
565,79.350
566,169.994
567,258.892
568,215.866
569,79.086
570,1.526
571,1.369
572,309.584
573,120.914
574,128.744
575,154.549
576,222.198
577,1.690
578,53.344
579,155.626
580,87.044
581,327.859
582,156.753
583,98.075
584,132.808
585,239.646
586,167.641
587,244.331
588,96.214
