 ,Area
1,276.506
2,107.944
3,155.498
4,78.666
5,220.547
6,78.602
7,0.373
8,113.460
9,75.143
10,163.168
11,307.006
12,126.634
13,139.656
14,92.196
15,129.569
16,115.603
17,98.923
18,117.758
19,147.018
20,98.008
21,136.471
22,377.472
23,94.386
24,133.139
25,200.093
26,100.681
27,201.969
28,145.084
29,1.398
30,221.322
31,154.007
32,119.179
33,62.574
34,106.692
35,200.472
36,100.250
37,106.948
38,146.261
39,111.817
40,250.891
41,101.089
42,178.660
43,217.193
44,98.328
45,210.309
46,127.088
47,187.641
48,129.324
49,193.337
50,249.343
51,119.231
52,92.405
53,134.854
54,76.001
55,113.707
56,173.720
57,106.844
58,128.171
59,111.011
60,162.839
61,252.635
62,144.420
63,137.390
64,128.642
65,248.190
66,83.807
67,138.134
68,104.377
69,244.780
70,100.521
71,222.846
72,179.504
73,112.939
74,132.269
75,150.217
76,106.764
77,211.785
78,96.683
79,130.006
80,218.363
81,111.296
82,171.073
83,158.958
84,208.326
85,160.924
86,132.920
87,201.159
88,174.228
89,341.271
90,117.334
91,121.228
92,263.521
93,170.998
94,178.128
95,268.791
96,117.427
97,352.790
98,149.157
99,98.065
100,320.942
101,87.483
102,100.148
103,112.786
104,167.811
105,238.316
106,79.562
107,148.865
108,133.311
109,197.266
110,177.936
111,133.593
112,97.306
113,89.156
114,132.787
115,245.781
116,72.769
117,109.063
118,218.174
119,97.165
120,211.442
121,216.299
122,122.286
123,154.965
124,201.975
125,95.754
126,150.396
127,102.231
128,157.451
129,92.744
130,90.970
131,103.111
132,136.704
133,108.916
134,96.500
135,100.316
136,160.454
137,209.245
138,105.731
139,118.785
140,155.765
141,222.924
142,164.687
143,120.357
144,134.991
145,82.296
146,0.370
147,148.824
148,138.903
149,117.757
150,118.923
151,280.263
152,168.931
153,170.872
154,166.732
155,211.473
156,194.968
157,129.629
158,138.621
159,141.595
160,284.661
161,0.039
162,95.782
163,94.506
164,178.299
165,123.196
166,116.176
167,118.798
168,162.592
169,193.293
170,169.901
171,329.684
172,127.516
173,185.123
174,108.937
175,90.985
176,167.350
177,213.093
178,179.981
179,152.849
180,134.199
181,324.738
182,132.102
183,262.545
184,135.068
185,123.196
186,285.671
187,177.821
188,141.219
189,131.484
190,138.981
191,106.691
192,134.990
193,135.405
194,161.543
195,272.304
196,172.265
197,249.616
198,97.810
199,174.100
200,181.433
201,161.287
202,81.497
203,102.778
204,156.919
205,193.745
206,143.844
207,237.245
208,149.214
209,104.665
210,301.928
211,121.363
212,122.073
213,128.748
214,100.483
215,199.930
216,223.861
217,135.213
218,2.219
219,279.004
220,97.309
221,101.741
222,97.228
223,136.529
224,111.800
225,109.511
226,90.664
227,114.671
228,104.566
229,117.519
230,125.265
231,199.150
232,170.885
233,126.995
234,108.882
235,187.117
236,353.570
237,146.383
238,246.267
239,232.207
240,98.037
241,200.833
242,121.899
243,199.027
244,182.429
245,147.868
246,136.032
247,199.301
248,112.752
249,253.904
250,124.704
251,159.420
252,161.865
253,268.940
254,145.512
255,172.776
256,95.062
257,137.712
