 ,Area
1,261.583
2,99.009
3,167.810
4,90.513
5,243.163
6,85.703
7,0.527
8,116.316
9,78.597
10,160.582
11,311.341
12,128.648
13,147.707
14,101.289
15,130.837
16,107.058
17,99.377
18,113.386
19,138.236
20,104.086
21,155.116
22,353.652
23,91.914
24,128.765
25,193.054
26,102.477
27,205.167
28,164.742
29,1.811
30,224.834
31,156.224
32,122.580
33,76.290
34,122.191
35,202.429
36,94.135
37,114.223
38,143.275
39,113.807
40,257.045
41,104.666
42,188.372
43,205.535
44,92.761
45,213.722
46,135.951
47,198.141
48,136.435
49,198.397
50,223.859
51,107.467
52,84.399
53,123.149
54,67.897
55,113.689
56,167.727
57,88.306
58,116.864
59,92.282
60,145.200
61,242.254
62,133.135
63,132.811
64,116.421
65,211.151
66,68.772
67,119.159
68,88.429
69,229.855
70,106.598
71,190.250
72,147.333
73,96.901
74,109.708
75,139.656
76,87.800
77,183.561
78,81.839
79,110.372
80,191.783
81,92.380
82,147.284
83,146.630
84,201.607
85,136.030
86,108.676
87,172.932
88,145.623
89,291.633
90,103.968
91,108.514
92,223.181
93,152.793
94,147.180
95,228.734
96,101.845
97,297.825
98,138.846
99,86.993
100,312.320
101,87.067
102,96.005
103,108.021
104,163.884
105,240.291
106,76.748
107,150.418
108,133.794
109,190.771
110,178.247
111,121.852
112,85.426
113,82.019
114,122.422
115,227.457
116,67.773
117,95.782
118,198.891
119,94.326
120,182.143
121,177.826
122,117.213
123,144.652
124,190.604
125,83.301
126,148.114
127,101.722
128,146.925
129,82.199
130,94.902
131,102.954
132,122.589
133,98.470
134,89.898
135,93.267
136,154.017
137,202.050
138,103.580
139,105.729
140,148.863
141,195.045
142,150.152
143,117.095
144,127.309
145,73.998
146,0.787
147,134.066
148,115.403
149,109.334
150,108.916
151,245.864
152,151.333
153,159.221
154,147.327
155,177.336
156,171.302
157,123.703
158,124.992
159,122.890
160,267.680
161,0.339
162,88.965
163,85.286
164,161.724
165,105.176
166,102.752
167,111.504
168,142.988
169,150.079
170,131.410
171,300.938
172,98.638
173,165.363
174,95.564
175,80.105
176,142.440
177,172.630
178,158.713
179,131.958
180,120.516
181,272.986
182,109.888
183,193.073
184,116.810
185,107.995
186,228.738
187,147.429
188,119.030
189,109.741
190,99.378
191,75.404
192,105.854
193,98.457
194,128.257
195,216.719
196,145.819
197,204.341
198,92.413
199,149.924
200,154.108
201,145.985
202,73.389
203,91.522
204,131.826
205,187.076
206,122.946
207,223.517
208,133.091
209,100.932
210,284.355
211,109.078
212,103.315
213,108.997
214,89.902
215,187.665
216,213.833
217,124.723
218,2.535
219,240.467
220,75.924
221,89.459
222,88.265
223,124.129
224,88.224
225,95.647
226,80.206
227,94.185
228,86.919
229,96.620
230,108.396
231,175.749
232,135.841
233,106.439
234,101.550
235,166.531
236,314.433
237,121.239
238,226.646
239,197.215
240,76.413
241,166.472
242,102.045
243,174.455
244,162.458
245,122.416
246,126.307
247,173.686
248,89.464
249,226.203
250,104.084
251,142.599
252,143.041
253,234.723
254,123.394
255,160.972
256,86.856
257,121.215
258,138.983
259,122.971
260,123.589
261,128.096
262,190.511
263,126.730
264,150.455
265,117.280
266,304.045
267,153.629
268,136.095
269,268.613
270,149.876
271,91.812
272,108.487
273,126.008
274,137.598
275,180.580
276,97.125
277,99.649
278,264.184
279,103.401
280,109.703
281,113.254
282,270.402
283,90.999
284,155.756
285,110.113
286,140.693
287,188.170
288,114.080
289,112.728
290,212.162
291,96.878
292,129.013
293,240.082
294,87.890
295,165.032
296,141.074
297,115.471
298,100.663
299,121.428
300,88.535
301,179.586
302,158.444
303,131.515
304,90.869
305,351.707
306,142.349
307,126.559
308,96.930
309,101.112
310,217.799
311,101.626
312,126.780
313,111.290
314,79.203
315,260.961
316,69.136
317,171.327
318,173.727
319,122.963
320,81.602
321,187.618
322,129.343
323,303.044
324,150.387
325,124.628
326,88.431
327,101.216
